title	creator	publisher	language	ncid	edition	publicationDate	note	subject
各種学校生徒の意識調査	倉内史郎[ほか]著	野間教育研究所	jpn	BN12138758		1972.11	発売:講談社(東京)	NDC6:377
安藤楢六の追想	安藤楢六追悼録刊行委員会編	安藤楢六追悼録刊行委員会	jpn	BN12142405		1985.1	安藤楢六の肖像あり 遡及	NDC8:289.1
日日の格言	堀場正夫著	鶴書房	jpn	BN12152839		1959		NDC6:159.8
くず鉄一代記	梁川福心著	梁川福心	jpn	BN12159951		1989.9	梁川福周および著者の肖像あり 遡及	NDC8:289.2
希望へのはじまり		労働旬報社	jpn	BN12201151		1995.1		NDC8:371.4
中島遺跡調査報告書	中島遺跡調査会 [編]	東京都住宅局	jpn	BN12204444		1995.3	折り込み図あり	NDC8:210.2
農産比較會紀事		千葉縣農商課	jpn	BN12207737		1882.12	明治15年(1882年)12月1日より同月10日まで千葉県が開設した農産比較談話会の記録	
最新リニアIC規格表	藤たかし編著	CQ出版	jpn	BN12211585		1972-		NDC8:549.7
紙魚たちよ語り部になってほしい	片田[ノボル]著	三輪町文化財研究会	jpn	BN12214878		1983	製作: 勁草出版サービスセンター	
現代の平和主義と立憲主義	浦田一郎著	日本評論社	jpn	BN12287179		1995.2		NDC8:319.8
盆踊りと盆踊り歌		青森県教育委員会	jpn	BN12294119		1979.3		NDC6:385.7
眼の壁		中央公論社	jpn	BN1229773X		1995.3		NDC8:913.68
循環・腎		医学評論社	jpn	BN12349017		1995.3	監修: 三石績	NDC8:493
規程集		日本体育協会	jpn	BN12363299		1983-1985		NDC7:780.36
リウマチ治療のこつ	水島裕著	南江堂	jpn	BN12370239	改訂第3版	1967.7	文献:p. 175-179	NDC6:493.6
例解税務会計	明里長太郎著	白桃書房	jpn	BN12377351		1964.8		
放射線利用の今日と明日	関西原子力懇談会放射線利用の今日と明日編集委員会編	大阪化学技術センター	jpn	BN12384492		1971		NDC8:539.6
健康自然食品史 : 苦難と激動の4半世紀		全日本健康自然食品協会	jpn	BN12387785		1992.9		NDC8:588.06
大阪府立大学雑誌目録	大阪府立大学附属図書館編	大阪府立大学附属図書館	jpn	BN12391432	第4版	1973.12		NDC6:027
藝術雜話	滝精一著	金尾文淵堂	jpn	BN12394725		1907.6		NDC7:704
